text,doc_key,story_id,model_type,prompt_type,seed,num_sentences,source_file,balanced_category,sampled_seed
Tom looks around the room . Tom knows that Bill has something to say . [SENT] Tom asks Bill is there is something wrong . [SENT] Bill states that there is something wrong . Bill asks Tom to sit down . [SENT] Tom stares at Bill . Tom remains standing . [SENT] Bill get up and looks at Tom . [SENT] Bill walks away from Tom . [SENT],13683,0,human,original,42,6,human_original_seed42_test_snapshots__local_json-nopound_pred.jsonlines,human_original,
"Tom has a problem he needs to discuss with his superior . [SENT] He wants to know if Bill has a couple of moments to spare for a sit-down . [SENT] Bill does n't respond . It seems he is engrossed in something else at the moment . [SENT] Tom 's colleagues Terence and Christian tell Tom it 's time to leave and urge him to go with them . Tom tells Bill he 'll stop by later when Bill is n't so busy . [SENT] Bill tears himself away from his project , glares at Tom for a moment . Then sighs . He tells Tom he can spare a few minutes . Someone coughs timidly elsewhere in the room . [SENT] Bill whirls angrily toward a group of underlings , and screams at them to GET OUT IF THEY CA N'T KEEP QUIET ! They scatter . Bill seethes , breathing hard . Tom stands wordlessly , wondering if he should 've picked another day to ask for a raise . [SENT]",13683,0,human,large,42,6,human_large_seed42_test_snapshots__local_json-nopound_pred.jsonlines,human_large,42
"In an opulent dining room with rich red damask walls , a formal dinner party is in full swing . Elegantly dressed guests mingle around a long table adorned with fine china and crystal . The room glows with candlelight from ornate chandeliers , and a portrait hangs prominently on the wall . Among the crowd , James moves through the gathering in his dark suit , observing the other attendees . [SENT] James stands near the red wall , his expression serious and watchful . He appears to be engaged in conversation with other guests , but his demeanor suggests he is there for more than just socializing . His focused gaze indicates he may be monitoring the situation or searching for someone specific . [SENT] From a doorway , the scene reveals more of the lavish room . Guests continue their conversations while seated and standing around the dining table . The red walls are decorated with decorative plates , and the atmosphere remains refined and sophisticated . James can be seen among the guests , maintaining his vigilant presence . [SENT] Kim appears in the foreground wearing a striking emerald green dress , her blonde hair styled elegantly . She stands near the doorway , partially turned away , seemingly in conversation with other guests . Her presence adds another layer of intrigue to the gathering . [SENT] Outside in bright daylight , a classic white vintage car is parked along a tree-lined street . A figure in dark clothing walks past the elegant automobile , which stands out against the backdrop of historic buildings and a church tower in the distance [SENT]",5349,0,claude45,original,42,5,claude45_original_seed42_test_snapshots__local_json-nopound_pred.jsonlines,model_original,
"At an upscale bar or social gathering , a man in a vibrant orange suit and matching top hat stands out among the crowd , holding a drink while conversing with another guest . The man in orange , Jeff , appears animated as he speaks with a blonde man in a powder blue suit , Jim , who listens attentively near the bar area decorated with bottles and elegant fixtures . [SENT] Meanwhile , at what appears to be the same event , a couple stands together in formal attire . Charles , dressed in a sharp black tuxedo , stands beside Karen , who wears an elegant black lace dress with her dark hair styled up . They both look poised and sophisticated as they observe the festivities around them . [SENT] Back at the bar , Jeff in his distinctive orange suit continues his conversation with Jim , who sports the light blue suit with ruffled detailing . The two men appear to be engaged in a serious or meaningful discussion , their body language suggesting familiarity as they stand close together in the crowded venue . [SENT] The conversation intensifies as Jeff leans in closer , his expression focused and earnest as he speaks to someone just out of clear view . The bar setting remains visible behind him , with its array of liquor bottles and warm lighting creating an intimate atmosphere for their exchange . [SENT] Jeff stands confidently at the bar , his hands spread wide on the counter in a gesture that suggests he 's making an important point or declaration . Jim remains nearby , observing the scene as Jeff 's bold orange ensemble continues to command attention in the refined social setting [SENT]",2926,0,claude45,large,42,5,claude45_large_seed42_test_snapshots__local_json-nopound_pred.jsonlines,model_large,
"George lay in bed , staring at the ceiling , deep in thought . Something troubling weighed heavily on his mind . [SENT] Jacques sat at his desk , his expression serious . He was ready to discuss pressing matters with those gathered in the room . [SENT] In the meeting room , Cary , Audrey , and Ned listened intently to Jacques . The atmosphere was tense as they awaited important news . [SENT] Cary and Audrey exchanged a glance , both concerned about what Jacques had just revealed . They knew the situation was serious and required immediate action . [SENT] Jacques leaned forward , emphasizing the urgency of the matter . Cary and Audrey listened carefully , knowing they must make a critical decision soon . [SENT]",2400,0,gpt4o,original,42,5,gpt4o_original_seed42_test_snapshots__local_json-nopound_pred.jsonlines,model_original,
"Robert , wearing a mask and a suit , stealthily enters a dimly lit building , his demeanor tense and focused . [SENT] He moves through a bustling office space , his presence unnoticed by the busy workers , who are absorbed in their tasks . [SENT] Suddenly , chaos erupts as Val , startled by Robert 's intrusion , ducks for cover , shielding himself with his arms . [SENT] Others in the office follow suit , crouching behind desks with expressions of fear and confusion . [SENT] Robert proceeds to a secure vault , methodically opening it to reveal rows of safety deposit boxes . [SENT] Determined , he searches through the boxes , his intentions clear as he works quickly , aware of the ticking clock . [SENT]",10486,0,gpt4o,large,42,6,gpt4o_large_seed42_test_snapshots__local_json-nopound_pred.jsonlines,model_large,
"In the early morning light , Jack stood in front of a mirror , his reflection revealing a man in a white shirt and tie , preparing for the day ahead . The room was dimly lit , with a warm lamp casting a soft glow . On the bed , a woman lay partially covered , her presence suggesting a recent intimate moment between them . Jack 's expression was serious , perhaps contemplating the events of the night before . [SENT] As Jack adjusted his tie , he glanced at the woman , who stirred slightly under the sheets . The room was tidy , with a few personal items on the nightstand , adding to the lived-in feel . The tension in the air was palpable , a mix of unresolved emotions and the quiet of dawn . [SENT] Jack turned to face the woman , who was now sitting up , her back exposed . He watched her , a hint of concern in his eyes . The atmosphere was charged with unspoken words and questions . Jack 's demeanor shifted from contemplative to more guarded , reflecting the complexity of their relationship . [SENT] The woman , sensing Jack 's unease , sat up fully , her gaze meeting his in the mirror . Jack 's expression softened slightly , revealing a flicker of tenderness . The moment was fleeting , a brief acknowledgment of their connection amidst the uncertainty . [SENT] Fully dressed in a suit , Jack stood beside the woman , his posture relaxed yet guarded . The woman turned to face him , her expression unreadable . The room , bathed in the morning light , seemed to hold their silent conversation , a testament to the unspoken understanding between them . Jack 's smile was subtle , hinting at a deeper bond beneath the surface . [SENT] As Jack prepared to leave , the woman reached out , her hand brushing his . In that brief touch , a silent promise was made , a commitment to navigate the complexities of their relationship together . The room , now quiet , held the remnants of their shared night , a backdrop to the promise of a new day . [SENT]",1111,0,internvl3,original,42,6,internvl3_original_seed42_test_snapshots__local_json-nopound_pred.jsonlines,model_original,
"In a dimly lit living room , a woman sat on a dark green sofa , wrapped in a light-colored bathrobe . She looked deeply troubled , her expression somber and reflective . A coffee table in front of her held a small copper mug and a glass vase , adding to the room 's subdued atmosphere . The scene exuded a sense of quiet despair , with minimal lighting casting shadows that heightened the mood of isolation and contemplation . [SENT] The focus shifted to a close-up of the woman 's face , revealing the depth of her distress . Her eyes , red and puffy , suggested she had been crying . The dim lighting accentuated the wrinkles and the strain etched on her face , highlighting her emotional turmoil . Her expression was one of profound sadness , as if she were grappling with an overwhelming burden . [SENT] The camera zoomed in further , capturing the intricate details of her eye . The close-up shot revealed the tear tracks on her face , the glistening of her tears , and the exhaustion in her gaze . This intimate view underscored the intensity of her sorrow , drawing the viewer into her emotional state with a sense of raw vulnerability . [SENT] The scene transitioned to a different setting , where the woman was now standing , her mouth open as if she was shouting or gasping in shock . The room remained dark , but the presence of two other figures suggested a confrontation or a moment of revelation . The tension in the air was palpable , and the woman 's body language conveyed a mix of fear and desperation . [SENT] The final image shifted to a bedroom enveloped in a thick , eerie fog . A young girl lay in bed , seemingly asleep , unaware of the unsettling atmosphere around her . The room was bathed in an otherworldly blue light , and the fog added a sense of mystery and foreboding . A bedside table with a lamp and a telephone hinted at the mundane contrasted with the supernatural elements , creating a chilling juxtaposition . [SENT]",5062,0,internvl3,large,42,5,internvl3_large_seed42_test_snapshots__local_json-nopound_pred.jsonlines,model_large,
"The man in the black suit is a skilled magician . He has a mysterious aura around him as he performs his magic tricks . [SENT] The man starts by sitting in a chair , surrounded by multiple reflections of himself , creating an illusion of a crowded room . His confident demeanor suggests that he is about to perform a complex trick . [SENT] As he moves , his reflections move with him , making it seem like there are many versions of him . The man 's skillful movements and the play of light create a dizzying effect , leaving the audience wondering what is real and what is an illusion . [SENT] The man 's reflections begin to overlap and intersect , creating a sense of depth and complexity . His movements become more fluid , and his reflections seem to take on a life of their own . [SENT] In the final image , the man 's reflections seem to fade away , leaving only one version of him standing . The man 's trick is complete , and he takes a bow , revealing his skill and mastery over the art of magic . The audience is left in awe of his performance , wondering how he created such an intricate and captivating illusion . [SENT]",5540,0,llama4scout,original,42,5,llama4scout_original_seed42_test_snapshots__local_json-nopound_pred.jsonlines,model_original,
"The story begins with a close-up of a person 's face , but the image is blurry and unclear . [SENT] As the scene progresses , a group of people in formal attire , led by George , come into view , walking in unison . [SENT] The group , including Jacques and Cary , continues to march forward , their movements synchronized , as they seem to be participating in a formal event or parade . [SENT] The procession , now joined by Audrey , fills the frame , with the individuals maintaining their disciplined pace , conveying a sense of unity and purpose . [SENT] The scene concludes with the group , including Ned , still marching in lockstep , their formal wear and coordinated movement evoking a sense of tradition and ceremony . [SENT]",2400,0,llama4scout,large,42,5,llama4scout_large_seed42_test_snapshots__local_json-nopound_pred.jsonlines,model_large,
"Jennifer entered the dimly lit study where Gary sat behind a heavy oak desk , maps and candles illuminating the room . He gestured for her to approach , his posture rigid . [SENT] Gary ’ s face was etched with tension as he met her gaze , the weight of unseen decisions pressing on him . [SENT] Jennifer ’ s eyes narrowed with concern , sensing the gravity of the moment . [SENT] She stood by the desk as Gary slumped forward , his head resting on the table , exhaustion overtaking him . [SENT] Leaning closer , she placed a hand on the desk , urging him to continue . Gary , now upright , scribbled notes by lamplight , his focus renewed . [SENT] He lifted his head , resolve firming his features , as if a plan had taken shape . The flickering candles cast shadows on the world map behind him , hinting at the stakes of their mission . [SENT]",733,0,qwen3vl,original,42,6,qwen3vl_original_seed42_test_snapshots__local_json-nopound_pred.jsonlines,model_original,
"A weathered `` ENTRANCE '' sign with bold red lettering and a left-pointing arrow is mounted on a glass door , accompanied by a faded `` Tostitos Official '' sticker , marking the entry to a sunlit urban eatery . [SENT] Two women , one in a red cardigan carrying a shoulder bag and the other in a white blouse , walk toward the entrance along a sidewalk lined with palm trees and parked cars . [SENT] The woman in the white blouse , her dark hair falling around her face , pauses with a serious expression , her red lipstick contrasting against the bright daylight . [SENT] They stop near a payphone outside the building , where the woman in red gestures while speaking and the other listens with her hands behind her back . [SENT] Inside the diner , they sit at a booth with a newspaper spread across the table ; one reads intently while the other sips coffee , a small vase of flowers catching the afternoon light . [SENT]",1201,0,qwen3vl,large,42,5,qwen3vl_large_seed42_test_snapshots__local_json-nopound_pred.jsonlines,model_large,
Tom had lost a small part on the floor . Tom searched the floor . [SENT] Tom was upset that he could not find the small part . [SENT] Tom read the manual . Tom wanted to know if the project could be completed without the small part . [SENT] Tom read the manual from cover to cover . [SENT] Tom was upset that the project could not be completed without the lost part . [SENT],13596,1,human,original,42,5,human_original_seed42_test_snapshots__local_json-nopound_pred.jsonlines,human_original,
"Emile sits in a chair , bent over a barrel . He is reaching deep into the barrel as if he is searching for something . His hair is disheveled and he 's wearing a long sleeved blue shirt . [SENT] Emile looks up from the barrel and reaches his hand into a bag on a nearby table . His face gives off the impression that he is frustrated , like he ca n't find what he is looking for . [SENT] Emile lays on his stomach on the floor . He has a book in his hands . His expression is enthralled in the book . It has his complete attention . He looks at it wide eyed . [SENT] Emile continues to read the book but now has a pained expression on his face . His is grimacing as he continues reading from the book . [SENT] Emile has a shocked expression on his face . He brings a small object closer to his face and looks at it carefully . [SENT]",13596,1,human,large,44,5,human_large_seed44_test_snapshots__local_json-nopound_pred.jsonlines,human_large,44
"Philip stands at a doorway wearing headphones , smiling as he speaks to someone in the adjacent room . His casual attire includes a denim shirt and a striped tie , and he appears to be in the middle of a conversation or listening to something . [SENT] Jude arrives at what appears to be an office or apartment , dressed professionally in a tan suit and glasses . Other figures stand behind him in the dimly lit space as he faces someone whose back is to the camera . [SENT] Jude stands in an interior setting wearing his tan suit , black tie , and glasses . The lighting casts shadows on the wall behind him , and he appears to be engaged in a serious conversation with someone off-camera . [SENT] Philip peers through a partially opened door , his hand thoughtfully placed near his chin . He wears glasses and a brown jacket with a white shirt and black tie , observing something or someone with a concerned expression . [SENT] Philip leans against the doorframe , still wearing his glasses and brown jacket . His expression appears anxious or worried as he looks at someone in the room , his hand visible near the door 's edge . [SENT] Matt holds a telephone receiver close to his face while another person leans in beside him . Both appear to be listening intently to the phone conversation , their faces showing concentration and concern . [SENT] Philip stands in the doorway wearing his glasses and brown jacket , his face showing a mixture of apprehension and determination as he observes the situation unfolding before him [SENT]",6921,1,claude45,original,42,7,claude45_original_seed42_test_snapshots__local_json-nopound_pred.jsonlines,model_original,
